pretrain epoch55, loss3.6254479843994667, mse0.07340386850309782, ce3.258428635268376, hits34760, ndcg0.623945422213653
pretrain epoch56, loss3.5943955511882386, mse0.07010074647079254, ce3.2438918269913772, hits35189, ndcg0.6274138072441364
pretrain epoch57, loss3.5865894103872367, mse0.07122832138476701, ce3.2304478143823556, hits35399, ndcg0.6311434784839893
pretrain epoch58, loss3.600290828737719, mse0.07358896481836665, ce3.232346004453199, hits35445, ndcg0.6303812522312691
pretrain epoch59, loss3.5697994972097464, mse0.06933243964509718, ce3.2231372964793237, hits35598, ndcg0.6311804467234118
pretrain epoch60, loss3.5591798486380744, mse0.07037510388884051, ce3.2073043255970397, hits35586, ndcg0.6352348779809887
pretrain epoch61, loss3.5553866419298896, mse0.0712097334065314, ce3.1993379880642068, hits35667, ndcg0.6361285047284488
pretrain epoch62, loss3.5646227269337096, mse0.0709727977498852, ce3.2097587421022613, hits35556, ndcg0.6348164359043384
pretrain epoch63, loss3.5402189534285973, mse0.06968336468883629, ce3.1918021193866073, hits35812, ndcg0.6379382980280909
pretrain epoch64, loss3.540544259137121, mse0.07060306448617885, ce3.1875289226400443, hits35926, ndcg0.639655419464769
pretrain epoch65, loss3.535996971459224, mse0.07153215972257071, ce3.1783361763789735, hits36133, ndcg0.6423744117391521
pretrain epoch66, loss3.498481302425779, mse0.06979290068406484, ce3.1495168085755973, hits36455, ndcg0.6490368185372188
pretrain epoch67, loss3.5098845383216597, mse0.07000702754433813, ce3.1598494176206917, hits36110, ndcg0.6455892118914374
pretrain epoch68, loss3.5143755057762407, mse0.07043305823001368, ce3.16221022605896, hits36173, ndcg0.646355781061896
pretrain epoch69, loss3.455116000668756, mse0.06999748752548776, ce3.1051285719049386, hits37330, ndcg0.6606756613172334
pretrain epoch70, loss3.4170758600892692, mse0.0699228052820625, ce3.067461848258972, hits38051, ndcg0.6713443912308792
pretrain epoch71, loss3.3959426139963083, mse0.07010582249996991, ce3.0454135023314377, hits38405, ndcg0.676105463299258
pretrain epoch72, loss3.3813577438222953, mse0.06850698847195198, ce3.038822786561374, hits38222, ndcg0.6765808648076551
pretrain epoch73, loss3.359261603190981, mse0.06856041607157938, ce3.016459526686833, hits38621, ndcg0.6828278878639484
pretrain epoch74, loss3.3639543508661203, mse0.06771303488519685, ce3.0253891657138694, hits38544, ndcg0.6807500267850941
pretrain epoch75, loss3.3591752011200477, mse0.0664966063381269, ce3.0266921602446457, hits38451, ndcg0.6791616493257983
pretrain epoch76, loss3.3546194824679145, mse0.06663594863795001, ce3.0214397496190566, hits38615, ndcg0.6811572734651894
pretrain epoch77, loss3.335783132191362, mse0.06754430865162406, ce2.9980615994025923, hits38846, ndcg0.6877652591672437
pretrain epoch78, loss3.310755992757863, mse0.06655656950997896, ce2.977973144629906, hits39345, ndcg0.6950079757591774
pretrain epoch79, loss3.2142603068516173, mse0.06701373964034278, ce2.8791916082645286, hits41026, ndcg0.7207795843995851
pretrain epoch80, loss3.227113292135041, mse0.06829922646284103, ce2.885617186283243, hits41090, ndcg0.7198760632810921
pretrain epoch81, loss3.2060703861302344, mse0.06793017229386444, ce2.866419529092723, hits41296, ndcg0.7239788739845671
pretrain epoch82, loss3.1795165949854356, mse0.06815566565712979, ce2.8387382523766878, hits41704, ndcg0.7299656888534283
pretrain epoch83, loss3.1519720472138504, mse0.06875118838045104, ce2.808216094970703, hits42130, ndcg0.737019611843701
pretrain epoch84, loss3.1494995972205855, mse0.06770725509729879, ce2.8109633223763826, hits42284, ndcg0.7375438398328321
pretrain epoch85, loss3.139659852817141, mse0.069010221688398, ce2.794608736860341, hits42659, ndcg0.7412614359937865
pretrain epoch86, loss3.1552410207945725, mse0.07011273747374272, ce2.804677334325067, hits42366, ndcg0.7384929245915907
pretrain epoch87, loss3.14774960484998, mse0.0698567792002497, ce2.79846571642777, hits42545, ndcg0.740148724153124
pretrain epoch88, loss3.140110842112837, mse0.07025327160954475, ce2.7888444908734025, hits42541, ndcg0.7427165847400139
pretrain epoch89, loss3.1068402158802955, mse0.06971656543941333, ce2.758257401400599, hits43170, ndcg0.7496767218770652
